elementId,actId,text,sectionNumber,sectionName,regId
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:529498,Provincial Sales Tax Act,"to the government ,  in respect of the rental period referred to in subsection  ( 1 )  ,  tax calculated in accordance with the following formula :  tax  =  7 %  × lease price × bc usage total usage where lease price   =   the lease price of the conveyance attributable to the rental period ;  bc usage   =   whichever of the following is applicable :   ( a )  in relation to an interjurisdictional aircraft ,  the number of hours the aircraft will fly during the rental period in the airspace over british columbia in eligible flights ;   ( b )  in relation to interjurisdictional railway rolling stock or an interjurisdictional conveyance ,  the distance the conveyance will travel ,  during the rental period ,  in british columbia or ,  if the conveyance is a vessel ,  in the waters of british columbia ;  total usage   =   whichever of the following is applicable :   ( a )  in relation to an interjurisdictional aircraft ,  the total number of hours the aircraft will fly during that rental period ;   ( b )  in relation to interjurisdictional railway rolling stock or an interjurisdictional conveyance ,  the total distance the conveyance will travel during that rental period .  4 for the purpose of calculations under subsection  ( 3 )  ,  the distances",62,Tax if leased conveyance used in British Columbia,
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:529509,Provincial Sales Tax Act,"in which the part is or is to be installed will fly in the airspace over british columbia in eligible flights during ,   ( i )  in the case of a prescribed part ,  the period beginning on the entry date of the prescribed part and ending on the third anniversary of that date ,  and  ( ii )  in any other case ,  the year after the entry date of the part ;   ( c )  in relation to interjurisdictional railway rolling stock or an interjurisdictional conveyance ,  the distance the conveyance will travel ,  during the year after its entry date ,  in british columbia or ,  if the conveyance is a vessel ,  in the waters of british columbia ;   ( d )  in relation to a conveyance part ,  the distance the conveyance in which the part is or is to be installed will travel ,  during the year after the entry date of the part ,  in british columbia or ,  if the conveyance is a vessel ,  in the waters of british columbia ;  total usage   =   whichever of the following is applicable :   ( a )  in relation to an interjurisdictional aircraft ,  the total number of hours the aircraft will fly during the period referred to in paragraph  ( a )  of the description of  "" bc usage ""  ;   ( b )  in relation to an",63,Tax if conveyance brought into and used in British Columbia,
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:529511,Provincial Sales Tax Act,":   ( a )  in relation to an interjurisdictional aircraft ,  the total number of hours the aircraft will fly during the period referred to in paragraph  ( a )  of the description of  "" bc usage ""  ;   ( b )  in relation to an aircraft part ,  the total number of hours the aircraft in which the part is or is to be installed will fly during the period referred to in paragraph  ( b )  of the description of  "" bc usage ""  ;   ( c )  in relation to interjurisdictional railway rolling stock or an interjurisdictional conveyance ,  the total distance the conveyance will travel during the year after its entry date ;   ( d )  in relation to a conveyance part ,  the total distance the conveyance in which the part is or is to be installed will travel during the year after the entry date of the part .  4 tax payable under subsection  ( 3 )  must be paid on or before the last day of the month after the month that includes the entry date of the taxable conveyance .  5 despite subsection  ( 4 )  ,  tax payable under subsection  ( 3 )  by a registrant must be paid on or before the prescribed date and in the prescribed manner .",63,Tax if conveyance brought into and used in British Columbia,
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:530074,Provincial Sales Tax Act,"the lieutenant governor in council may make regulations in relation to tangible personal property as follows :  a for the purposes of the definition of  "" average wholesale value ""  in section 1  [ definitions ]  ,  adopting by reference ,  in whole or in part ,  a publication that the lieutenant governor in council considers to be a recognized industry standard publication ,  as the publication stands at the time of adoption or as amended from time to time ;  a . 1 for the purposes of section 25  ( 2 )   ( a )  ,  respecting the determination of the depreciated value of tangible personal property prescribed for the purposes of that section ;  b respecting the calculation of the tax payable under section 51  [ tax if tangible personal property brought into british columbia for temporary use ]  in relation to tangible personal property to which section 51  ( 9 )  applies ;  c for the purpose of calculating the tax payable under division 6  [ conveyances used interjurisdictionally ]  of part 3 by persons using fleets of interjurisdictional aircraft ,  interjurisdictional railway rolling stock or interjurisdictional conveyances ,  as those terms are defined in that division ,  prescribing formulas i that are based on the use of those fleets in british columbia ,  and ii that those persons may choose to use",238,Regulations in relation to tangible personal property,
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:530075,Provincial Sales Tax Act,"interjurisdictional railway rolling stock or interjurisdictional conveyances ,  as those terms are defined in that division ,  prescribing formulas i that are based on the use of those fleets in british columbia ,  and ii that those persons may choose to use instead of the formulas applied under that division ;  d providing that tax calculated in accordance with a formula prescribed for a fleet be paid in a different manner or at different times from those provided in division 6 of part 3 ;  d . 1 for the purpose of the calculation of tax payable under section 69  ( 2 )   [ tax if multijurisdictional vehicle licensed ]  ,  i requiring a person licensing a vehicle in british columbia under a licence to which a prorating agreement applies to report to the insurance corporation of british columbia the distance the vehicle travelled ,  in the calculation year immediately preceding the date the licence is issued ,  in british columbia and in each other jurisdiction prescribed for the purposes of section 70  ( 2 )   [ when tax under section 69 must be paid ]  ,  and ii prescribing a method for determining the travel ratio for a vehicle ;  e  [ repealed 2013 - 1 - 302 .  ]  e . 1 for the purpose of calculating the tax payable under section 84 . 1  ( 2 )  to  ( 5 )  ,",238,Regulations in relation to tangible personal property,
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:545423,Carbon Tax Act,"1 for the purposes of section 39 of the act ,  if the director is satisfied that a person has paid tax for fuel that was used by a ship for a marine trip that a transported passengers ,  goods or both on the ship ,  b was provided to members of the public for a fee ,  and c did not include an intraprovincial leg ,  the director must pay the person a refund of the tax paid on the fuel used on that marine trip .  2 for the purposes of section 39 of the act ,  if the director is satisfied that a person has paid tax for fuel that was used by a ship for a marine trip that a transported passengers ,  goods or both on the ship ,  b was provided to members of the public for a fee ,  and c included an intraprovincial leg ,  the director must pay the person a refund of the tax paid on the fuel used on the legs of the marine trip that are interjurisdictional legs .   [ am .  b . c .  regs .  258 / 2009 ,  s .  6 ;  24 / 2012 ,  s .  3 ;  246 / 2013 ,  app .  1 ,  s .  6 .  ]",28,Refund — interjurisdictional marine travel or transportation,Carbon Tax Regulation
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:545573,Commercial Transport Act,"in this division :  authorized person means a the insurance corporation of british columbia ,  b a person who is designated in writing by the corporation by name or position ,  or c a person who is employed in the ministry of a minister who is responsible in whole or in part for administration of the act ;  interjurisdictional movement means ,  in respect to a commercial vehicle ,  one or more of the following :  a the delivery of goods or persons from a place outside british columbia to a place in british columbia ;  b the picking up of goods or persons from a place in british columbia for delivery outside british columbia ;  c the transportation of goods or persons through british columbia ;  intrajurisdictional movement means ,  in respect to a commercial vehicle ,  travel within british columbia ,  including the picking up and delivery of goods or persons .   [ en .  b . c .  reg .  131 / 2006 .  ]",6.01,Interpretation,Commercial Transport Regulations
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:545575,Commercial Transport Act,"1 an authorized person may issue a permit under this division for a commercial vehicle registered or licensed outside british columbia a on application in the form required by the insurance corporation of british columbia ,  b on receipt of proof of financial responsibility that is satisfactory to the corporation ,  c on payment of the fee referred to in section 6 . 03 ,  and d if the commercial vehicle is required to have a licence or temporary operating permit under the passenger transportation act ,  with the approval of the registrar of passenger transportation appointed under that act .  2 if a permit under this division is issued in respect of a commercial vehicle ,  the commercial vehicle may be operated for one or more of the following purposes ,  as applicable :  a interjurisdictional movement ;  b intrajurisdictional movement of a commercial vehicle with a licensed gross vehicle weight of less than 11 794 kg ;  b . 1 repealed .   [ b . c .  reg .  206 / 2009 ,  s .  2 .  ]  c movement into and within british columbia of a commercial vehicle the load of which is specialized equipment that is permanently attached to the commercial vehicle or that is intrinsic to the purpose of the commercial vehicle .   [ en .  b . c .  reg .  131 / 2006 ;  am .  b . c .  regs .  313 / 2008 ,",6.02,Non-resident commercial vehicle permit,Commercial Transport Regulations
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:549084,Motor Fuel Tax Act,"1 an ifta licensee must a carry a copy of the ifta licence in the cab of each ifta commercial vehicle operating under that ifta licence ,  b present the copy of the ifta licence for inspection at the request of a police officer or other authorized person ,  and c affix an ifta decal on each side of the cab of each ifta commercial vehicle operating under that ifta licence .  2 an ifta licensee who ceases to engage in interjurisdictional transportation of passengers or goods must promptly remove all ifta decals from its vehicles ,  return the original ifta licence to the director and destroy all copies of the ifta licence .  3 an ifta licensee who ceases to use an ifta commercial vehicle for which an ifta decal has been acquired under section 18 or 19 for the interjurisdictional transportation of passengers or goods must promptly remove the ifta decals from the vehicle .   [ en .  b . c .  reg .  550 / 95 ,  sch .  ,  s .  2 ;  am .  b . c .  reg .  217 / 2007 ,  ss .  2 and 3 .  ]",21,Display of licence and decal,Motor Fuel Tax Regulation
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:516250,Legal Profession Act,"of a fee ,  ii respecting the enforcement of a fine imposed by a governing body ,  and iii allowing release of information about a lawyer to a governing body ,  including information about practice restrictions ,  complaints ,  competency and discipline .  3 parts 3 to 8 and 10 apply to a lawyer or class of lawyers given permission under this section .",16,Interprovincial practice,
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:519271,Labour Mobility Act,"in this act :  agreement means the canadian free trade agreement that entered into force on july 1 ,  2017 ,  as amended from time to time ;  applicable bc regulator ,  in relation to an occupation ,  means the regulatory authority that is authorized to issue certification in british columbia in relation to that occupation ;  approved measure means a measure approved under section 2 ;  bc equivalent occupation ,  in relation to an extraprovincial occupation ,  means an occupation in british columbia that consists of a set of jobs that is the same as or is substantially similar to the set of jobs that constitutes the extraprovincial occupation ;  canadian jurisdiction means a jurisdiction the government of which is a party to the agreement ;  certification ,  in relation to a worker ,  means a certificate ,  licence ,  registration or other form of official recognition issued to the worker by a regulatory authority of a canadian jurisdiction that attests to the worker being qualified and ,  if applicable ,  authorized to do one or both of the following :  a practise a particular occupation in the canadian jurisdiction ;  b use in the canadian jurisdiction a particular occupational title ,  designation or abbreviated title or designation ;  extraprovincial occupation means an occupation in relation to which a worker holds a certification in a canadian jurisdiction other than british columbia ;  governing act ,  in relation to an",1,Definitions,
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:519273,Labour Mobility Act,"use in the canadian jurisdiction a particular occupational title ,  designation or abbreviated title or designation ;  extraprovincial occupation means an occupation in relation to which a worker holds a certification in a canadian jurisdiction other than british columbia ;  governing act ,  in relation to an occupation ,  means the act under which certification may be issued in british columbia in relation to that occupation ;  measure includes a practice ,  policy ,  standard and procedure ;  occupation means a set of jobs that ,  with some variation ,  are similar in their main tasks or duties or in the type of work performed ;  occupational standard means the skills ,  knowledge and abilities required for an occupation as established by a regulatory authority of a canadian jurisdiction and against which the qualifications of an individual in that occupation are assessed ;  regulatory authority ,  in relation to british columbia or another canadian jurisdiction ,  means a person or other body ,  whether or not a governmental entity ,  that has ,  by an enactment ,  been granted authority to set or implement measures related to any of the following :  a the establishment of occupational standards or certification requirements ;  b the assessment of the qualifications of workers against established occupational standards or certification requirements ;  c the official recognition that an individual meets established occupational standards or certification requirements ,  and ,  in relation to british columbia ,  includes any other person or body that may be",1,Definitions,
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:507503,Motor Fuel Tax Act,"refuse to issue or renew a licence under subsection  ( 1 )  if the applicant has failed to deposit a bond required under section 53 by the date specified by the director under subsection  ( 3 . 1 )  of this section .  4 the director may suspend or cancel a licence issued under this section if the licensee fails to comply with a a provision of this act or the regulations ,  b the terms and conditions of the licence set out in the application ,  or c a requirement of the director to deposit a bond under section 53 .  5 a suspension or cancellation of a licence under subsection  ( 4 )  does not relieve a person from any other liability .  6 the director must issue to a carrier ,  to whom a licence has been issued under this section ,  2 decals for each motor vehicle that is a owned or operated by the carrier ,  and b used interprovincially or internationally for the commercial carriage of passengers or goods .  7 a carrier to whom a licence and decals are issued under this section must not assign or otherwise transfer that licence or those decals .  8 a licensed carrier must not display the decals issued under subsection  ( 6 )  unless that carrier is in compliance with this act ,  the regulations and the terms and conditions of the licence set out in",19,Issue of licences and decals to carriers,
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:508353,Motor Fuel Tax Act,"on the following december 31 ;  carrier means a person who owns or operates one or more motor vehicles used interprovincially or internationally for the commercial carriage of passengers or goods ;  carrier decal means a decal a issued by the director under section 19  ( 6 )  ,  or b issued ,  in accordance with the international fuel tax agreement ,  by another jurisdiction that is a party to that agreement ;  carrier licence means a licence a issued by the director under section 19  ( 1 )  ,  or b issued ,  in accordance with the international fuel tax agreement ,  by another jurisdiction that is a party to that agreement ;  collector means a person who is appointed as a collector under section 28  ( 1 )  ;  coloured fuel means a fuel ,  other than propane ,  coloured in accordance with section 14 and the regulations ,  and b the following fuels if they are used for a purpose for which coloured fuel is authorized to be used under section 15 :  i methanol based fuel ;  ii fuel of which at least 85 %  is ethanol ;  commercial motor vehicle means a commercial vehicle as defined in the commercial transport act ;  deputy collector means a person who is deemed appointed as a deputy collector under section 33 ;  diesel fuel includes a renewable diesel fuel ,  and b ethanol when blended with diesel fuel or renewable diesel fuel",1,Definitions,
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:534537,Safety Standards Act,"1 in this section :  red seal credential means an interprovincial red seal credential in the trade of welding ;  skilledtradesbc means the corporation continued under section 2  ( 1 )  of the skilled trades bc act .  2 an applicant for a class  "" a ""  or  "" it ""  pressure welder ' s certificate of qualification must a meet the applicable conditions for qualification as set out in this section ,  and b have successfully completed a performance qualification test that i is acceptable to a provincial safety manager ,  and ii conforms to the requirements of csa b51 .  3 an applicant for a class  "" a ""  pressure welder ' s certificate of qualification must hold one of the following :  a a bc welder certificate issued by skilledtradesbc and endorsed with a red seal credential ;  b a bc welder level a or b certificate issued by skilledtradesbc ;  c a welder trade qualification endorsed with a red seal credential by an apprenticeship authority in another jurisdiction of canada .  4 an applicant for a class  "" it ""  pressure welder ' s certificate of qualification must be a welding apprentice who a is registered with skilledtradesbc or an apprenticeship authority in another jurisdiction of canada ,  and b has completed level 2 of the apprenticeship program",41,Application for pressure welder's certificate of qualification,"Power Engineers, Boiler, Pressure Vessel and Refrigeration Safety Regulation"
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:539382,Natural Products Marketing (BC) Act,",  and g comparative transportation costs to market areas from alternative sources of production and the agency is making a similar order or regulation .  2 no order or regulation shall be made where the effect thereof would be to decrease the aggregate of a the number of dozens of eggs produced in the province and authorized by quotas assigned by the board and by the agency to be marketed in intraprovincial ,  interprovincial and export trade ,  and b the number of dozens of eggs produced in the province and anticipated to be marketed in intraprovincial ,  interprovincial and export trade other than as authorized by quotas assigned by the board and by the agency to a number that ,  on a yearly basis ,  is less than the number of dozens of eggs set out in section 4 of this part for the province unless at the same time the number of dozens of eggs produced in each province and so authorized to be marketed in intraprovincial ,  interprovincial and export trade is decreased proportionately .  3 when the agency has made an order or regulation pursuant to provisions of a marketing plan similar to the provisions of subsections  ( 1 )  and  ( 2 )  ,  the board shall make a similar order or regulation .  4 repealed .   [ b . c .  reg .  409",5,Number not to be increased or decreased,"British Columbia Egg Marketing Scheme, 1967"
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:539451,Natural Products Marketing (BC) Act,"1 no order or regulation shall be made where the effect thereof would be to increase the aggregate of a the number of pounds of turkey meat produced in the province and authorized by quotas assigned by the board and by the agency to be marketed in intraprovincial ,  interprovincial and export trade ,  and b the number of pounds of turkey meat produced in the province and anticipated to be marketed in intraprovincial ,  interprovincial and export trade other than as authorized by quotas assigned by the board and by the agency to a number that exceeds ,  on a yearly basis ,  the number of pounds of turkey meat set out in section 4 of this part for the province unless the board has taken into account c the principle of comparative advantage of production in respect of each province ,  d the variation in the size of the market for turkeys ,  e any failure by turkey producers in the province or other provinces to market the number of pounds of turkey meat authorized to be marketed ,  f the feasibility of increased production in each province to be marketed ,  g existing production and storage facilities in each province ,  and h the comparative transportation costs to market areas from alternative sources of production ,  and the agency is making a similar order or regulation .  2 when the agency has made an order",5,Restriction on aggregate,British Columbia Turkey Marketing Scheme
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:541294,Employment and Assistance Act,"of subsection  ( 2 )  ,  funeral costs ,  and interprovincial transportation and extraprovincial transportation costs are necessary if the minister determines that a the item or service in relation to which a supplement is requested is a necessary item or service ,  and b the item or service is or was appropriate .  c repealed .   [ b . c .  reg .  63 / 2010 ,  s .  3  ( c )  .  ]  3 . 1 the amount of a supplement payable under subsection  ( 2 )  is ,  a in respect of a funeral provider ' s fee for services ,  an amount that is ,  in the opinion of the minister ,  the lowest reasonable cost ,  b in respect of a particular item or service that is a funeral cost ,  other than a service included in a funeral provider ' s fee for services ,  i the cost for the item or service set out in schedule f ,  or ii if there is no cost set out for the item or service in schedule f ,  the cost that is ,  in the opinion of the minister ,  the lowest reasonable cost for that item or service ,  and c in respect of interprovincial transportation or extraprovincial transportation ,  the cost that is ,  in the opinion of the minister ,  the lowest reasonable cost .  4 the amount of",65,Burial or cremation supplements,Employment and Assistance Regulation
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:541295,Employment and Assistance Act,"minister ,  the lowest reasonable cost for that item or service ,  and c in respect of interprovincial transportation or extraprovincial transportation ,  the cost that is ,  in the opinion of the minister ,  the lowest reasonable cost .  4 the amount of a supplement paid under this section is a debt due to the government and may be recovered by it from the deceased ' s estate .   [ en .  b . c .  reg .  147 / 2007 ;  am .  b . c .  regs .  63 / 2010 ,  ss .  1 to 4 ;  79 / 2010 ,  s .  2 .  ]",65,Burial or cremation supplements,Employment and Assistance Regulation
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:548855,Motor Fuel Tax Act,"category 2 alternative motor fuel or a category 3 alternative motor fuel ,  within the meaning of part 3 . 1 ,  but does not include a renewable diesel fuel ,  b ethanol ,  or c fuel that contains renewable diesel fuel or ethanol ;  ifta commercial vehicle means a motor vehicle that is used interprovincially or internationally for the commercial carriage of passengers or goods and that a has 2 axles and either a gross vehicle weight or registered gross vehicle weight exceeding 11 800 kg ,  b has 3 or more axles regardless of weight ,  or c when combined with the trailer with which it is used ,  has a gross vehicle weight exceeding 11 800 kg ,  but does not include a recreational vehicle .  3 )  -  ( 4 repealed .   [ b . c .  reg .  97 / 2008 .  ]   [ am .  b . c .  regs .  234 / 86 ;  325 / 88 ,  s .   ( a )  ;  34 / 91 ,  s .  1 ;  394 / 92 ,  s .   ( a )  ;  78 / 94 ,  s .  1 ;  188 / 95 ,  s .   ( a )  ;  550 / 95 ,  sch .  ,  s .  1 ;  26 / 2000 ,  s .  1 ;  371 / 2000 ,  s .  1 ;  435 / 2004 ;  29 / 2006 ,",1,Interpretation,Motor Fuel Tax Regulation
4:f785f72f-e7de-4075-87d3-76d2fdffeae5:492113,Medicare Protection Act,"the commission to establish those terms and conditions ;  h respecting applications for approval of diagnostic facilities and the information required to be disclosed ;  h . 1 prescribing bodies for the purposes of the definition of prescribed agencies in part 7 ;  h . 2 prescribing a surcharge or a method of calculating a surcharge for the purposes of section 37  ( 1 . 1 )  ;  i respecting the provision of dental care services and benefits to beneficiaries or any designated categories of beneficiaries ,  including specifying those provisions of this act and the regulations respecting the plan which apply or do not apply to the provision of dental care services and benefits ;  j respecting rights of subrogation in favour of the commission ;  k providing for transition arising from repeal of the former act and the medical service plan act ,  1981 ;  l providing for sampling and confirmation of claims submitted for payment under this act ;  m setting standards and conditions for the purposes of services provided outside british columbia ;  n establishing fees for applications or renewals under this act and establishing different fees for different applications ;  o respecting terms and conditions that are to be included in information - sharing agreements under section 5  ( 5 )  and prescribing enactments for the purposes of section 5  ( 6 )  ;",51,Power to make regulations,
